섬네일 url,뉴스테러 이름,뉴스레터 보낸사람 이름,뉴스레터 보낸사람 이메일,뉴스레터 소개/설명글,카테고리,해당 뉴스레터 홈페이지 링크,구독하기 링크,업로드 요일,담당자
,SOSIC 소식,SOSIC 소식,sosic.official-gmail.com@send.stibee.com,공간을 경험하는 모든 구성원들을 위해 놓쳐선 안될 트렌드를 큐레이팅하고 새로운 관점으로 이슈를 전합니다,리빙/인테리어,https://sosicweekly.com/archive,https://sosicweekly.com/subscribe,월,유현우
,브리크brique,브리크매거진,brique153@brique.co,"도시, 공간, 사람을 담습니다. 도시인의 삶을 풍요롭게, 일상에 영감을 주는 공간과 라이프스타일을 전해드립니다.",리빙/인테리어,https://page.stibee.com/archives/50582,https://page.stibee.com/subscriptions/50582,수,유현우
,낰낰,낰낰,info@saho-official.com,내 방 좀 멋지게 꾸미고 싶은데 뭐부터 해야할 지 모르겠어..' 라는 고민에서 시작한 뉴스레터,리빙/인테리어,https://letterknockknock.stibee.com/,https://letterknockknock.stibee.com/subscribe/,수,유현우
,스위트스팟 팝콘 ,스위트스팟 팝콘,mailmaster@sweetspot.co.kr,"주목해야 하는 공간 트렌드부터 가볼 만한 리테일과 팝업스토어 정보까지,
팝콘에서 한 번에 확인 하세요.",리빙/인테리어,https://www.sweetspot.co.kr/popcon,https://page.stibee.com/subscriptions/149674?groupIds=293944,2주에 한번,유현우
,FURSYS,FURSYS,officewelove@fursys.com,"OFFICE INSIGHT에서는 전문적인 공간 솔루션은 물론,  우리 회사에 적용할 수 있는 가치 있는 정보를 전합니다.  오피스 라이프에 활기를 더하고 싶다면, 퍼시스 뉴스레터 속 유익한 이야기!",리빙/인테리어,https://fursys.stibee.com/,https://fursys.stibee.com/subscribe/,X,유현우
,FAPER,FAPER,news@fstvl.life,"공연 덕후들이 만드는 페스티벌, 공연, 음악 뉴스레터 반가운 공연 소식과 다양한 음악 콘텐츠를 담아,
매주 수요일 저녁 공연 덕후들을 찾아갑니다!",리빙/인테리어,https://page.stibee.com/archives/70350,https://faper.stibee.com/,수,유현우
,셀렉트스타 AI,셀렉트스타,marketing@selectstar.ai,"논문 리뷰 X 비즈니스 트렌드 X 기업 분석과 새로운 AI 뉴스와 트렌드, 좋은 정보가 가득한 셀렉트스타 뉴스레터를 받아보고 싶으시다면 지금 바로 구독해주세요! ",IT/테크,https://page.stibee.com/archives/212479,https://page.stibee.com/subscriptions/212479,X,유현우
,트렌디어 뉴스레터,트렌디어 뉴스레터,contact@measurecommerce.ai,"국가별  떠오르는 브랜드 순위부터 🚀성분, 원료, 효능, 고객리뷰 정보까지 📈지금 주목해야 트렌드를 모두 한눈에! 👀 글로벌 11억건 + 유통 데이터 속에서 🌏 떠오르는 뷰티 / 건강기능식품 트렌드를 빠르게 포착하여 🔥 매주 뉴스레터로 전달해드립니다! 📨",건강/의학,https://library.trendier.ai/ko,https://trendierbeauty.stibee.com/,매주,유현우
,카고레터,카고레터🦍,cagoletter@gorilladistrict.com,"자본주의 필수템 신용카드와 체크카드! 멋 모르고 발급 받아 혜택은 못 받는 것 같다면? 카고레터의 PICKER가 되어보세요! 📊 사람들에게 인기 있는 카드 차트 💳 내게 필요한 알짜 신용/체크카드 📰 놓칠 수 없는 카드 출시&단종 소식까지!
",시사/사회,https://www.card-gorilla.com/newsletter,https://www.card-gorilla.com/newsletter,수,유현우
,메일 한 끼,메일한끼,newsletter@ottogi.co.kr,식문화 트렌드 또는 요리에 관심이 많다면! ✅F&B 종사자 또는 꿈나무라면! ✅오뚜기 소식을 빠르게 알고 싶은 찐팬이라면! ✅먹을 것에 진심인 여러분 모두 💛구독💛 하시고 메일 한 끼 받아보세요! 💌,푸드,https://page.stibee.com/archives/324391,https://page.stibee.com/archives/324391,격주 수요일,유현우
,,,,,,,,,유현우
,,,,,,,,,유현우
,,,,,,,,,유현우
,,,,,,,,,
,,,,,,,,,
https://cdn.imweb.me/thumbnail/20240524/b7e0ef2232b1f.png,아트레터,ARTLAMP,info@artlamp.org,일주일에 한 번 메일박스에서 만나는 달콤한 편지,디자인,https://artlamp.org/artletter,https://artlamp.org/artletter,일주일에 한 번,이찬
https://cdn.maily.so/maily96b1a25984762d02e6b644e5b3ebf3321617349721,프롬디자이너,from.designer,from.designer@maily.so,함께 성장하는 UXUI 커뮤니티,디자인,https://maily.so/from.designer,https://maily.so/from.designer,X,이찬
https://img.stibee.com/2176121b-2d5a-4eb5-ac21-bc9a59c2eb3c.gif,노폴레터,노트폴리오,webmaster@notefolio.net,"국내 최대 디자이너 플랫폼 노트폴리오(https://notefolio.net/)에서 발행하는 뉴스레터, 디자인 트렌드 & 소식 총정리 노폴레터! 👀 이번 주 놓치면 안 될 위클리 디자인 트렌드 👀 노트폴리오가 말아주는 고민상담, 인사이트 아티클 👀 작업에 200% 도움 될 신상 폰트 소개 👀 꼭 가봐야 할 전시, 팝업 소식 총정리 💌 매주 수요일, 노폴레터에서 모두 확인해 보세요!",디자인,https://notefolio.net/,https://page.stibee.com/subscriptions/75270,수,이찬
https://cdn.imweb.me/thumbnail/20230327/142a114118c84.png,MSV Impact Letter,MSV,hello@missionit.co,사회적 가치를 만나는 MSV 임팩트레터에서는 소셜임팩트 시리즈에서 다루고 있는 핵심적인 주제들과 관련하여 흥미로운 인사이트를 전달 드립니다. 핵심적인 키워드는 '디자인의 사회적 가치Design for Social Value'와 '포용적인 디자인Inclusive Design' 그리고 '접근성Accessibility' 입니다.,디자인,https://www.magazinemsv.com/Letter,https://www.magazinemsv.com/newsletter,일주일에 한 번,이찬
,디자인 나침반,Design Compass,contact@designcompass.org,놓치면 안 될 디자인 소식 모아보기,디자인,https://designcompass.org/,https://designcompass.org/subscribe-a-newsletter/,화,이찬
https://img.stibee.com/2f7174ac-cb17-40a6-ab6f-fcc97f05c81c.png,weekly D,weekly D,hello@weeklyd.xyz,"수요일 아침 8시, 읽어볼 만한 글을 모아서 보냅니다. 주로 디자인 관련 글을 수집합니다.",디자인,https://weeklyd.stibee.com/,https://page.stibee.com/subscriptions/29178,수,이찬
,,,,,,,,,
,,,,,,,,,
,뭐지 뉴스레터,뭐지 뉴스레터,"newsletter@moji.or.kr
",주간 IT 소식을 요약해 매주 수요일에 여러분의 메일함으로 찾아가는 뉴스레터!,IT/테크,https://moji.or.kr/,https://moji.or.kr/,수,강철원
,디스콰이엇,,,"새로운 프로덕트 트렌드 및 다른 메이커들의 경험담을 뉴스레터로 받아보세요. 💌

",IT/테크,https://disquiet.io/newsletter,https://disquiet.io/newsletter,,신현호
